DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
14-12-18,78.6,79.8,78.3,79.35,178337,696
13-12-18,79.55,81.3,77.45,78.55,716351,2051
12-12-18,79.9,79.95,77.9,79,635083,1478
11-12-18,76,79.9,75.95,79,408889,1591
10-12-18,78.3,79.2,76.35,77.45,350937,1601
07-12-18,79.75,81.05,78.4,79.3,485702,3314
06-12-18,79.7,80.1,78.8,79.15,195537,1131
05-12-18,80.15,81.5,79.85,80.4,796625,2921
04-12-18,82.55,83.75,80.6,81.3,704634,3074
03-12-18,76.9,83.1,76.8,82.5,2330577,9975
30-11-18,75,76.65,73.75,76.25,726869,4142
29-11-18,74.5,75.45,73.4,75.1,312553,1434
28-11-18,76.3,76.3,73.85,74.35,272505,1531
27-11-18,75.5,76.5,74.55,75.55,469538,1192
26-11-18,75.05,76.3,74.5,75.6,550209,1668
22-11-18,77.9,78.15,74.5,74.9,293575,1497
21-11-18,78.5,78.9,76.85,77.75,324956,1610
20-11-18,77.2,78.65,76.4,78.05,951740,3743
19-11-18,76.8,77.6,75.85,77.05,405754,1641
16-11-18,76.7,77.25,75.1,76.65,360426,1390
15-11-18,78,78.45,75.9,76.6,320982,1495
14-11-18,76.05,78.7,75.5,77.9,641897,2419
13-11-18,74.5,76.35,73.05,75.95,343880,1905
12-11-18,75.3,79.95,74.1,74.35,833559,1317
09-11-18,75.6,77,75.1,75.8,416435,1816
07-11-18,76.25,76.45,75.5,76.05,118682,499
06-11-18,75.4,77.05,75,75.45,259623,1164
05-11-18,75.25,75.6,73.35,75.15,328559,1686
02-11-18,77,77.45,75.3,75.85,455418,1588
01-11-18,76.8,77.75,75.4,76.4,706292,4372
31-10-18,78.4,81.6,74.8,76.45,1812465,5969
30-10-18,78.9,79.8,76.6,77.55,2106218,7371
29-10-18,69.5,86.15,68.5,77.5,3751104,14877
26-10-18,69.45,70.75,68.05,68.95,461619,4035
25-10-18,68.3,69.85,67.6,69.05,232957,789
24-10-18,69.9,70.15,68.55,69.25,161996,748
23-10-18,69.45,69.85,68.05,69.5,208378,1143
22-10-18,70.8,71.45,68.9,69.5,482933,2543
19-10-18,72,72.4,69.35,70.2,351190,1715
17-10-18,74,74.6,71.75,72.4,875527,11054
16-10-18,71.45,74.05,70.65,73.8,770917,5004
15-10-18,70,71.6,68.9,71.3,676837,4043
12-10-18,63.3,72.15,63,68.85,6008374,8780
11-10-18,63.45,63.85,61.65,62.35,367659,1415
10-10-18,60.75,65.4,60.75,65,499415,2008
09-10-18,62.35,62.45,59.9,61.05,465358,1532
08-10-18,63,65.2,60.45,61.6,673594,2813
05-10-18,68,68,62.35,63,454881,1765
04-10-18,67.4,68,66.2,66.95,343183,1452
03-10-18,68.05,69.3,66.5,67.7,552569,2583
01-10-18,66,68.9,64.85,68.05,477061,1940
28-09-18,68.9,69.3,65.55,65.95,796830,2373
27-09-18,70,70.65,68.5,68.9,237382,969
26-09-18,70.5,70.9,69,70.3,263922,1372
25-09-18,69.8,71.1,68.1,70.1,821536,4877
24-09-18,73.5,73.5,68.2,69.05,547079,3269
21-09-18,76,76.55,68.05,72.8,524405,2266
19-09-18,75.7,77.2,74.85,75.45,599812,1875
18-09-18,78.25,78.95,74,74.45,631036,2713
17-09-18,76.4,78.55,75.05,77.85,701519,2606
14-09-18,73.6,76.3,73.6,76.1,339483,1648
12-09-18,74.5,74.75,72.95,74,259493,1170
11-09-18,73.55,76.85,73,74.15,728869,3088
10-09-18,75.25,75.65,73.4,73.7,230118,994
07-09-18,74.9,75.9,73.85,75.25,170602,1437
06-09-18,75,75.75,73.7,74.9,169970,900
05-09-18,73.5,75.2,72.7,74.85,631655,2704
04-09-18,78.8,78.9,73,73.4,568734,2797
03-09-18,77,78.85,76.3,78.05,532655,4080
31-08-18,76,77.4,74.5,76.6,742521,2701
30-08-18,77.25,77.35,75.75,76.15,217012,1602
29-08-18,74.75,77.35,74.55,76.85,707299,2195
28-08-18,75.45,76.65,73.9,74.7,742968,3714
27-08-18,72,76.6,71.95,75.65,896585,4388
24-08-18,71.1,72.5,70.65,71.7,181456,820
23-08-18,73,73.4,71.1,71.8,358152,1497
21-08-18,70.6,73.55,69.7,72.35,380045,1480
20-08-18,68.95,70.3,68.7,69.95,179596,849
17-08-18,67.5,69,67.05,68.65,208356,924
16-08-18,68.5,68.75,67,67.2,257579,1349
14-08-18,68.85,69.5,68.6,68.75,112897,569
13-08-18,69.25,70.15,68.65,68.9,157898,944
10-08-18,70.2,71.1,69.1,69.4,181713,1028
09-08-18,70,70.4,69.3,70,174171,837
08-08-18,70.5,70.9,69.2,69.45,221532,1914
07-08-18,72.5,72.5,70.05,70.25,249670,1257
06-08-18,72.5,72.8,71.55,71.85,166485,803
03-08-18,72,73.1,71.9,72.25,169709,851
02-08-18,73,73,71.45,71.9,189712,1433
01-08-18,74.5,74.9,72.7,73.1,275476,2119
31-07-18,73.85,74.9,72.65,74.4,288205,1389
30-07-18,72,74.7,71,73.85,454461,2997
27-07-18,71.75,72.4,71.05,71.85,440428,1789
26-07-18,68,72.4,68,70.85,1205774,5503
25-07-18,68,69.45,67.55,67.8,172385,1127
24-07-18,68.1,69,67.4,67.9,290190,1411
23-07-18,68,68.6,66.65,68.1,191312,1173
20-07-18,68.5,68.5,67.15,67.85,153348,843
19-07-18,70,70.4,67.8,68.4,154262,873
18-07-18,71,71.6,68.75,69.75,226341,1433
17-07-18,69.05,71.25,68.15,70.7,205014,1634
16-07-18,70,70,68.25,68.75,142023,813
13-07-18,69.65,70.35,69.15,70,238842,956
12-07-18,71.5,71.65,69.4,69.55,359035,1930
11-07-18,72.9,73.4,71.75,72.2,216992,1496
10-07-18,73.45,74,72.7,72.85,863668,960
09-07-18,71.6,74,71.6,73.2,1302539,1317
06-07-18,71.05,72.25,71.05,71.7,102536,700
05-07-18,71.6,72.15,71.1,71.2,147790,861
04-07-18,72.1,73,71.65,72,287838,1653
03-07-18,72.2,73,71.8,72.05,748175,2272
02-07-18,73.15,73.8,71.9,72,635161,2311
29-06-18,71.6,73.3,71.6,73.05,165585,859
28-06-18,71.05,74.8,71,71.6,685166,3549
27-06-18,74.1,75.05,71.5,72,290941,1584
26-06-18,76.25,76.4,74.8,75,127431,734
25-06-18,76.7,77.25,76,76.35,254540,1839
22-06-18,74.1,76.35,74.1,76.1,183480,1633
21-06-18,74.55,75.15,74,74.55,232295,940
20-06-18,73.5,74.4,72.9,73.9,175441,1047
19-06-18,75,75,73.1,73.5,304331,1458
18-06-18,76.95,76.95,75.1,75.2,163145,978
15-06-18,77.5,77.75,75.95,76.15,210067,1459
